recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
14726339,289.825767,49.574625,0.848,0.512,20122234,4,12,0.585,0.019,15.607,0.017,16.193,0.009,15.786,0.010,15.489,0.008,15.364,0.101
14726340,289.814477,49.603335,0.158,1.069,20122234,3,6,0.277,0.079,13.648,0.075,13.925,0.026,13.688,0.000,13.634,0.000,,
14726341,289.816243,49.619652,0.538,0.719,20122234,4,20,0.656,0.040,15.512,0.026,16.168,0.031,15.711,0.029,15.350,0.105,15.155,0.062
14726342,289.830309,49.590913,0.803,0.982,20122234,3,7,0.640,0.228,16.990,0.172,17.630,0.149,17.185,0.000,16.877,0.000,16.353,0.000
14726343,289.761682,49.609692,0.348,0.462,20122234,4,17,0.485,0.062,15.045,0.059,15.530,0.020,15.205,0.029,14.931,0.014,14.887,0.053
14726345,289.793237,49.601292,0.345,0.359,20122234,4,20,0.584,0.038,13.724,0.029,14.308,0.024,13.918,0.021,13.569,0.029,13.497,0.020
14726347,289.825611,49.643787,0.508,0.783,20122234,3,15,0.746,0.040,15.517,0.034,16.264,0.022,15.822,0.027,15.274,0.014,15.128,0.033
14726348,289.833473,49.669024,0.463,0.775,20122234,4,18,0.818,0.067,15.312,0.040,16.129,0.053,15.630,0.032,15.060,0.069,14.961,0.158
14726349,289.851712,49.662633,0.693,0.437,20122234,3,10,0.236,0.144,16.310,0.143,16.546,0.009,16.289,0.031,16.385,0.109,,
14726350,289.862700,49.637257,0.347,0.435,20122234,4,20,0.672,0.028,14.702,0.016,15.374,0.023,14.937,0.027,14.479,0.027,14.418,0.038
14726351,289.779841,49.670924,0.641,0.524,20122234,4,20,1.115,0.086,15.302,0.050,16.417,0.070,15.799,0.023,14.875,0.025,14.600,0.046
14726352,289.803570,49.645765,0.454,0.389,20122234,4,20,0.904,0.029,14.680,0.020,15.584,0.022,15.040,0.021,14.414,0.031,14.190,0.030
14726353,289.808962,49.632805,1.240,1.070,20122234,3,8,0.885,0.076,16.370,0.051,17.256,0.056,16.608,0.000,16.155,0.000,,
14726354,289.797204,49.692248,0.511,0.626,20122234,4,12,0.699,0.061,15.874,0.020,16.573,0.058,16.102,0.011,15.641,0.038,,
14726356,289.804710,49.665277,0.878,0.750,20122234,4,15,0.424,0.051,16.151,0.000,16.574,0.051,16.251,0.037,16.065,0.064,15.962,0.000
14726357,289.817435,49.672645,0.467,1.199,20122234,3,14,0.545,0.097,15.193,0.054,15.738,0.080,15.316,0.077,14.922,0.010,14.788,0.079
14726358,289.925577,49.644307,0.508,0.361,20122234,4,19,0.581,0.042,14.706,0.029,15.287,0.031,14.899,0.026,14.535,0.025,14.525,0.031
14726359,289.938324,49.642762,0.542,0.340,20122234,4,15,0.411,0.139,15.824,0.131,16.235,0.045,15.925,0.052,15.707,0.050,15.714,0.000
14726360,289.936434,49.656141,0.622,1.143,20122234,3,8,0.839,0.111,16.278,0.097,17.118,0.055,16.570,0.044,16.109,0.035,,
14726361,289.949591,49.658588,0.903,0.884,20122234,4,13,0.618,0.073,16.102,0.069,16.721,0.026,16.257,0.043,15.859,0.088,15.762,0.000
14726362,289.970316,49.647066,0.366,0.328,20122234,4,20,0.572,0.031,13.835,0.020,14.408,0.024,14.026,0.023,13.700,0.042,13.639,0.023
14726363,289.882143,49.660537,0.598,0.256,20122234,4,20,0.445,0.046,14.308,0.036,14.753,0.029,14.432,0.033,14.200,0.032,14.184,0.076
14726365,289.924948,49.669004,0.223,0.262,20122234,4,19,0.470,0.034,14.132,0.031,14.602,0.016,14.272,0.025,14.020,0.049,13.974,0.028
14726366,289.949906,49.680126,0.500,0.566,20122234,4,18,0.644,0.058,15.398,0.057,16.042,0.006,15.615,0.040,15.198,0.063,15.159,0.106
14726367,289.956777,49.670269,0.566,1.074,20122234,2,8,0.726,0.060,16.296,0.044,17.022,0.041,16.572,0.016,16.086,0.116,,
14726368,289.974859,49.681453,0.900,0.498,20122234,4,17,0.567,0.026,15.619,0.010,16.186,0.024,15.792,0.039,15.452,0.082,15.304,0.091
14726370,289.948837,49.703595,0.599,0.595,20122234,4,20,0.544,0.070,15.434,0.054,15.978,0.045,15.638,0.032,15.325,0.041,15.229,0.032
14726371,289.968267,49.695709,0.626,0.632,20122234,3,12,0.662,0.111,16.743,0.094,17.405,0.059,16.985,0.014,16.639,0.147,,
14726372,289.981295,49.700022,0.536,0.740,20122234,3,13,0.617,0.136,16.509,0.101,17.126,0.092,16.703,0.009,16.111,0.064,15.836,0.000
14726373,289.993474,49.698659,0.488,0.607,20122234,4,14,0.667,0.059,15.185,0.042,15.851,0.041,15.405,0.029,14.982,0.036,14.862,0.047
14726374,289.914868,49.709524,0.305,0.373,20122234,4,20,0.955,0.031,14.090,0.030,15.045,0.008,14.486,0.023,13.842,0.027,13.616,0.061
14726375,289.917922,49.746248,0.379,0.536,20122234,2,6,1.091,0.097,16.256,0.000,17.347,0.097,16.740,0.031,15.869,0.031,,
14726376,289.936599,49.729741,0.304,0.361,20122234,4,20,0.644,0.033,13.558,0.030,14.202,0.015,13.802,0.029,13.408,0.036,13.273,0.042
14726377,289.952821,49.718273,0.393,0.371,20122234,4,20,1.111,0.036,14.834,0.034,15.945,0.010,15.300,0.042,14.476,0.040,14.213,0.043
14726379,289.850751,49.705818,1.110,0.562,20122234,4,14,0.619,0.179,16.298,0.116,16.917,0.136,16.444,0.016,15.929,0.058,15.725,0.052
14726380,289.859570,49.695174,0.816,0.689,20122234,2,8,0.757,0.079,16.575,0.045,17.333,0.065,16.843,0.008,16.424,0.121,,
14726381,289.864235,49.706216,0.941,0.922,20122234,3,7,0.733,0.053,15.738,0.030,16.471,0.043,,,15.594,0.000,,
14726383,289.884201,49.693882,0.381,0.358,20122234,4,19,0.680,0.058,15.086,0.051,15.766,0.027,15.328,0.040,14.924,0.040,14.794,0.022
14726384,289.820871,49.705154,0.957,0.707,20122234,2,4,0.851,0.000,16.703,0.000,17.554,0.000,16.971,0.050,16.522,0.000,,
14726385,289.825475,49.692292,0.451,0.643,20122234,4,15,0.750,0.077,15.253,0.070,16.003,0.033,15.516,0.019,14.990,0.087,14.654,0.000
14726387,289.904855,49.725395,0.514,0.546,20122234,4,20,0.457,0.047,14.925,0.043,15.382,0.019,15.033,0.026,14.786,0.008,14.729,0.067
14726388,289.834083,49.763400,0.334,0.372,20122234,4,20,1.038,0.032,14.262,0.023,15.301,0.023,14.686,0.028,13.966,0.016,13.701,0.030
14726390,289.835493,49.789265,0.280,0.461,20122234,4,19,0.651,0.035,15.300,0.028,15.951,0.021,15.508,0.034,15.059,0.050,14.886,0.073
14726391,289.868701,49.778322,0.483,0.951,20122234,3,11,0.541,0.141,15.941,0.131,16.482,0.051,16.073,0.033,15.891,0.034,15.495,0.000
14726392,289.746647,49.613610,0.511,0.545,20122234,4,13,0.605,0.104,15.629,0.103,16.234,0.016,15.860,0.026,15.527,0.026,15.338,0.000
14726393,289.705351,49.637263,0.210,0.346,20122234,4,20,0.411,0.047,13.541,0.045,13.953,0.015,13.660,0.023,13.457,0.046,13.455,0.010
14726394,289.697446,49.687849,0.907,0.426,20122234,4,11,0.540,0.114,16.068,0.096,16.607,0.061,16.167,0.000,15.781,0.000,15.660,0.000
14726395,289.703518,49.671618,0.366,0.424,20122234,4,20,0.988,0.032,14.865,0.032,15.854,0.005,15.256,0.015,14.564,0.029,14.325,0.013
14726396,289.740533,49.691103,0.265,0.304,20122234,4,20,1.077,0.031,13.667,0.031,14.744,0.000,14.149,0.023,13.373,0.026,13.074,0.032
14726397,289.743038,49.677001,0.169,0.288,20122234,4,20,1.114,0.024,13.872,0.023,14.986,0.008,14.355,0.022,13.549,0.030,13.278,0.035
14726398,289.759235,49.663077,0.451,0.543,20122234,4,18,0.753,0.077,15.465,0.068,16.219,0.036,15.735,0.029,15.225,0.036,15.100,0.154
14726399,289.773573,49.681814,0.531,0.634,20122234,4,17,0.561,0.069,15.655,0.056,16.216,0.039,15.807,0.029,15.491,0.042,15.374,0.074
14726400,289.746453,49.702436,0.457,0.410,20122234,4,20,0.686,0.037,14.840,0.024,15.526,0.028,15.098,0.027,14.644,0.037,14.574,0.038
14726401,289.763763,49.716578,0.282,0.344,20122234,4,20,0.618,0.034,13.305,0.033,13.923,0.009,13.520,0.021,13.145,0.014,13.044,0.048
